SVI Theme: Household Composition & Disability; Overall Household Composition & Disability (Percentile); NaturalBreaks
Data downloaded on 20-April-2024
County_FIPS,County,State,Diagnosed Diabetes-2018-Percentage,Overall Household Composition & Disability-2018-Percentile
18169,Wabash County,Indiana,8.7,0.3964
19053,Decatur County,Iowa,8.7,0.4374
19155,Pottawattamie County,Iowa,8.7,0.6278
20035,Cowley County,Kansas,8.7,0.8822
20127,Morris County,Kansas,8.7,0.7227
21215,Spencer County,Kentucky,8.7,0.1716
24029,Kent County,Maryland,8.7,0.3028
26037,Clinton County,Michigan,8.7,0.0847
26053,Gogebic County,Michigan,8.7,0.2811
26057,Gratiot County,Michigan,8.7,0.4206
26081,Kent County,Michigan,8.7,0.311
26141,Presque Isle County,Michigan,8.7,0.4011
27165,Watonwan County,Minnesota,8.7,0.7393
28037,Franklin County,Mississippi,8.7,0.886
28163,Yazoo County,Mississippi,8.7,0.9421
29013,Bates County,Missouri,8.7,0.8832
29043,Christian County,Missouri,8.7,0.404
30027,Fergus County,Montana,8.7,0.3155
30093,Silver Bow County,Montana,8.7,0.4018
30105,Valley County,Montana,8.7,0.2859
31059,Fillmore County,Nebraska,8.7,0.291
31139,Pierce County,Nebraska,8.7,0.2471
31155,Saunders County,Nebraska,8.7,0.4336
32001,Churchill County,Nevada,8.7,0.4085
36095,Schoharie County,New York,8.7,0.5349
37071,Gaston County,North Carolina,8.7,0.5272
37139,Pasquotank County,North Carolina,8.7,0.4444
37183,Wake County,North Carolina,8.7,0.1359
39041,Delaware County,Ohio,8.7,0.084
39045,Fairfield County,Ohio,8.7,0.467
39125,Paulding County,Ohio,8.7,0.6558
40051,Grady County,Oklahoma,8.7,0.4874
40093,Major County,Oklahoma,8.7,0.6628
41031,Jefferson County,Oregon,8.7,0.8526
41045,Malheur County,Oregon,8.7,0.8867
46077,Kingsbury County,South Dakota,8.7,0.2324
48073,Cherokee County,Texas,8.7,0.7128
48257,Kaufman County,Texas,8.7,0.4082
48331,Milam County,Texas,8.7,0.8746
49011,Davis County,Utah,8.7,0.1019
51057,Essex County,Virginia,8.7,0.6979
51093,Isle Of Wight County,Virginia,8.7,0.2983
51097,King And Queen County,Virginia,8.7,0.2321
51183,Sussex County,Virginia,8.7,0.497
53013,Columbia County,Washington,8.7,0.6323
55111,Sauk County,Wisconsin,8.7,0.298
01117,Shelby County,Alabama,8.8,0.0691
02020,Anchorage Municipality,Alaska,8.8,0.2557
02130,Ketchikan Gateway Borough,Alaska,8.8,0.3524
04011,Greenlee County,Arizona,8.8,0.5989
05011,Bradley County,Arkansas,8.8,0.9748
05041,Desha County,Arkansas,8.8,0.9898
05047,Franklin County,Arkansas,8.8,0.6613
06067,Sacramento County,California,8.8,0.3563
09009,New Haven County,Connecticut,8.8,0.1286
12037,Franklin County,Florida,8.8,0.3333
13013,Barrow County,Georgia,8.8,0.5533
13079,Crawford County,Georgia,8.8,0.4473
13103,Effingham County,Georgia,8.8,0.3785
13105,Elbert County,Georgia,8.8,0.7205
13173,Lanier County,Georgia,8.8,0.8755
13181,Lincoln County,Georgia,8.8,0.7654
13189,Mcduffie County,Georgia,8.8,0.8637
13303,Washington County,Georgia,8.8,0.7982
16045,Gem County,Idaho,8.8,0.9739
16069,Nez Perce County,Idaho,8.8,0.8115
17195,Whiteside County,Illinois,8.8,0.5874
18011,Boone County,Indiana,8.8,0.1429
18165,Vermillion County,Indiana,8.8,0.8991
19007,Appanoose County,Iowa,8.8,0.6457
19095,Iowa County,Iowa,8.8,0.1694
20087,Jefferson County,Kansas,8.8,0.4594
20169,Saline County,Kansas,8.8,0.4505
21031,Butler County,Kentucky,8.8,0.8281
21155,Marion County,Kentucky,8.8,0.9465
21175,Morgan County,Kentucky,8.8,0.5145
21197,Powell County,Kentucky,8.8,0.8418
22013,Bienville Parish,Louisiana,8.8,0.9796
22107,Tensas Parish,Louisiana,8.8,0.6988
26033,Chippewa County,Michigan,8.8,0.4171
26035,Clare County,Michigan,8.8,0.7345
27007,Beltrami County,Minnesota,8.8,0.7284
27167,Wilkin County,Minnesota,8.8,0.5546
28145,Union County,Mississippi,8.8,0.9016
29183,St. Charles County,Missouri,8.8,0.0825
29219,Warren County,Missouri,8.8,0.681
30051,Liberty County,Montana,8.8,0.5587
31019,Buffalo County,Nebraska,8.8,0.0758
34017,Hudson County,New Jersey,8.8,0.0627
34031,Passaic County,New Jersey,8.8,0.3101
35053,Socorro County,New Mexico,8.8,0.7584
36007,Broome County,New York,8.8,0.2951
36039,Greene County,New York,8.8,0.0755
36083,Rensselaer County,New York,8.8,0.1691
37001,Alamance County,North Carolina,8.8,0.545
37035,Catawba County,North Carolina,8.8,0.3394
37095,Hyde County,North Carolina,8.8,0.4199
37141,Pender County,North Carolina,8.8,0.234
37149,Polk County,North Carolina,8.8,0.348
38081,Sargent County,North Dakota,8.8,0.099
40035,Craig County,Oklahoma,8.8,0.9586
40081,Lincoln County,Oklahoma,8.8,0.7507
40083,Logan County,Oklahoma,8.8,0.2299
41033,Josephine County,Oregon,8.8,0.6574
42015,Bradford County,Pennsylvania,8.8,0.6816
42071,Lancaster County,Pennsylvania,8.8,0.2015
44003,Kent County,Rhode Island,8.8,0.1261
46109,Roberts County,South Dakota,8.8,0.8953
47139,Polk County,Tennessee,8.8,0.5097
47185,White County,Tennessee,8.8,0.7545
48187,Guadalupe County,Texas,8.8,0.4756
49057,Weber County,Utah,8.8,0.3652
51033,Caroline County,Virginia,8.8,0.305
51103,Lancaster County,Virginia,8.8,0.2722
51109,Louisa County,Virginia,8.8,0.2592
51147,Prince Edward County,Virginia,8.8,0.0548
51153,Prince William County,Virginia,8.8,0.2003
51187,Warren County,Virginia,8.8,0.2416
54085,Ritchie County,West Virginia,8.8,0.6011
05105,Perry County,Arkansas,8.9,0.7211
06007,Butte County,California,8.9,0.3133
12095,Orange County,Florida,8.9,0.177
13057,Cherokee County,Georgia,8.9,0.0904
13061,Clay County,Georgia,8.9,0.9131
13099,Early County,Georgia,8.9,0.9398
13183,Long County,Georgia,8.9,0.8803
13195,Madison County,Georgia,8.9,0.694
13199,Meriwether County,Georgia,8.9,0.9147
13207,Monroe County,Georgia,8.9,0.0831
13225,Peach County,Georgia,8.9,0.6657
13301,Warren County,Georgia,8.9,0.6039
15001,Hawaii County,Hawaii,8.9,0.3677
17001,Adams County,Illinois,8.9,0.5594
17119,Madison County,Illinois,8.9,0.2518
17143,Peoria County,Illinois,8.9,0.4906
18031,Decatur County,Indiana,8.9,0.5944
18061,Harrison County,Indiana,8.9,0.3999
18081,Johnson County,Indiana,8.9,0.2942
19045,Clinton County,Iowa,8.9,0.6052
19147,Palo Alto County,Iowa,8.9,0.3515
20047,Edwards County,Kansas,8.9,0.4024
20137,Norton County,Kansas,8.9,0.0834
20149,Pottawatomie County,Kansas,8.9,0.2066
21085,Grayson County,Kentucky,8.9,0.6995
21137,Lincoln County,Kentucky,8.9,0.7771
21203,Rockcastle County,Kentucky,8.9,0.9007
22067,Morehouse Parish,Louisiana,8.9,0.8042
27087,Mahnomen County,Minnesota,8.9,0.9503
27115,Pine County,Minnesota,8.9,0.3741
27143,Sibley County,Minnesota,8.9,0.1754
28131,Stone County,Mississippi,8.9,0.4725
29087,Holt County,Missouri,8.9,0.5097
29097,Jasper County,Missouri,8.9,0.5957
31185,York County,Nebraska,8.9,0.2655
37013,Beaufort County,North Carolina,8.9,0.744
37151,Randolph County,North Carolina,8.9,0.6084
37193,Wilkes County,North Carolina,8.9,0.5759
38025,Dunn County,North Dakota,8.9,0.149
39157,Tuscarawas County,Ohio,8.9,0.4387
40111,Okmulgee County,Oklahoma,8.9,0.9656
41019,Douglas County,Oregon,8.9,0.7364
42055,Franklin County,Pennsylvania,8.9,0.5536
47017,Carroll County,Tennessee,8.9,0.8233
47035,Cumberland County,Tennessee,8.9,0.8284
47039,Decatur County,Tennessee,8.9,0.6867
47041,Dekalb County,Tennessee,8.9,0.3731
47079,Henry County,Tennessee,8.9,0.9175
47181,Wayne County,Tennessee,8.9,0.4483
48291,Liberty County,Texas,8.9,0.6301
51035,Carroll County,Virginia,8.9,0.5199
53011,Clark County,Washington,8.9,0.2206
53039,Klickitat County,Washington,8.9,0.3913
53045,Mason County,Washington,8.9,0.6845
54075,Pocahontas County,West Virginia,8.9,0.4569
54101,Webster County,West Virginia,8.9,0.9309
02282,Yakutat City and Borough,Alaska,9,0.4062
04007,Gila County,Arizona,9,0.8819
05053,Grant County,Arkansas,9,0.7418
05065,Izard County,Arkansas,9,0.4826
05087,Madison County,Arkansas,9,0.6383
12099,Palm Beach County,Florida,9,0.2445
13001,Appling County,Georgia,9,0.9605
13129,Gordon County,Georgia,9,0.8793
13205,Mitchell County,Georgia,9,0.8446
13231,Pike County,Georgia,9,0.0729
17031,Cook County,Illinois,9,0.0946
18103,Miami County,Indiana,9,0.588
18137,Ripley County,Indiana,9,0.3766
19065,Fayette County,Iowa,9,0.7084
19127,Marshall County,Iowa,9,0.5119
20015,Butler County,Kansas,9,0.2401
21045,Casey County,Kentucky,9,0.6673
21053,Clinton County,Kentucky,9,0.8475
21129,Lee County,Kentucky,9,0.7558
21169,Metcalfe County,Kentucky,9,0.9373
21221,Trigg County,Kentucky,9,0.6886
22041,Franklin Parish,Louisiana,9,0.957
22053,Jefferson Davis Parish,Louisiana,9,0.9408
22059,Lasalle Parish,Louisiana,9,0.7663
27061,Itasca County,Minnesota,9,0.4117
27065,Kanabec County,Minnesota,9,0.6686
27069,Kittson County,Minnesota,9,0.1834
28069,Kemper County,Mississippi,9,0.8609
29041,Chariton County,Missouri,9,0.6406
29047,Clay County,Missouri,9,0.2541
29101,Johnson County,Missouri,9,0.0458
29123,Madison County,Missouri,9,0.5492
29127,Marion County,Missouri,9,0.7151
29165,Platte County,Missouri,9,0.2375
29195,Saline County,Missouri,9,0.7886
30041,Hill County,Montana,9,0.8768
31067,Gage County,Nebraska,9,0.362
31081,Hamilton County,Nebraska,9,0.2865
31127,Nemaha County,Nebraska,9,0.3171
31161,Sheridan County,Nebraska,9,0.8571
36011,Cayuga County,New York,9,0.4731
37197,Yadkin County,North Carolina,9,0.539
39019,Carroll County,Ohio,9,0.277
39039,Defiance County,Ohio,9,0.4432
39063,Hancock County,Ohio,9,0.1678
39083,Knox County,Ohio,9,0.2961
39165,Warren County,Ohio,9,0.0866
40011,Blaine County,Oklahoma,9,0.8208
40073,Kingfisher County,Oklahoma,9,0.7418
42047,Elk County,Pennsylvania,9,0.4349
42051,Fayette County,Pennsylvania,9,0.6749
45017,Calhoun County,South Carolina,9,0.3617
47001,Anderson County,Tennessee,9,0.7892
47007,Bledsoe County,Tennessee,9,0.2735
51027,Buchanan County,Virginia,9,0.561
51073,Gloucester County,Virginia,9,0.1643
51191,Washington County,Virginia,9,0.4575
51197,Wythe County,Virginia,9,0.567
53003,Asotin County,Washington,9,0.8418
53071,Walla Walla County,Washington,9,0.2232
54037,Jefferson County,West Virginia,9,0.1213
01079,Lawrence County,Alabama,9.1,0.5186
02060,Bristol Bay Borough,Alaska,9.1,0.1792
05005,Baxter County,Arkansas,9.1,0.5145
05007,Benton County,Arkansas,9.1,0.1684
05141,Van Buren County,Arkansas,9.1,0.8615
06037,Los Angeles County,California,9.1,0.1047
08101,Pueblo County,Colorado,9.1,0.9048
12101,Pasco County,Florida,9.1,0.6043
13019,Berrien County,Georgia,9.1,0.8325
16035,Clearwater County,Idaho,9.1,0.468
17093,Kendall County,Illinois,9.1,0.2069
18107,Montgomery County,Indiana,9.1,0.5202
18125,Pike County,Indiana,9.1,0.4511
18135,Randolph County,Indiana,9.1,0.8599
18183,Whitley County,Indiana,9.1,0.4403
19011,Benton County,Iowa,9.1,0.1936
19069,Franklin County,Iowa,9.1,0.6256
19119,Lyon County,Iowa,9.1,0.248
19163,Scott County,Iowa,9.1,0.269
20097,Kiowa County,Kansas,9.1,0.3088
20107,Linn County,Kansas,9.1,0.9733
21051,Clay County,Kentucky,9.1,0.5498
21121,Knox County,Kentucky,9.1,0.852
22037,East Feliciana Parish,Louisiana,9.1,0.2808
22089,St. Charles Parish,Louisiana,9.1,0.4877
23025,Somerset County,Maine,9.1,0.7313
24003,Anne Arundel County,Maryland,9.1,0.0586
26031,Cheboygan County,Michigan,9.1,0.5075
27081,Lincoln County,Minnesota,9.1,0.3951
27089,Marshall County,Minnesota,9.1,0.2467
28143,Tunica County,Mississippi,9.1,0.6756
28157,Wilkinson County,Mississippi,9.1,0.6469
29005,Atchison County,Missouri,9.1,0.4308
29117,Livingston County,Missouri,9.1,0.4916
29213,Taney County,Missouri,9.1,0.8443
31131,Otoe County,Nebraska,9.1,0.6224
32510,Carson City,Nevada,9.1,0.872
35035,Otero County,New Mexico,9.1,0.5224
37077,Granville County,North Carolina,9.1,0.5174
37147,Pitt County,North Carolina,9.1,0.184
38071,Ramsey County,North Dakota,9.1,0.7256
38077,Richland County,North Dakota,9.1,0.0551
38101,Ward County,North Dakota,9.1,0.0452
39037,Darke County,Ohio,9.1,0.5842
39161,Van Wert County,Ohio,9.1,0.7768
42039,Crawford County,Pennsylvania,9.1,0.6434
42061,Huntingdon County,Pennsylvania,9.1,0.3699
42087,Mifflin County,Pennsylvania,9.1,0.7787
42089,Monroe County,Pennsylvania,9.1,0.1468
42097,Northumberland County,Pennsylvania,9.1,0.5664
47147,Robertson County,Tennessee,9.1,0.5508
48423,Smith County,Texas,9.1,0.3897
51069,Frederick County,Virginia,9.1,0.155
51081,Greensville County,Virginia,9.1,0.1401
51175,Southampton County,Virginia,9.1,0.6078
53041,Lewis County,Washington,9.1,0.7606
53049,Pacific County,Washington,9.1,0.7307
54029,Hancock County,West Virginia,9.1,0.6027
54067,Nicholas County,West Virginia,9.1,0.6635
55027,Dodge County,Wisconsin,9.1,0.1079
56021,Laramie County,Wyoming,9.1,0.2862
02195,Petersburg Borough,Alaska,9.2,0.8927
05135,Sharp County,Arkansas,9.2,0.9475
12069,Lake County,Florida,9.2,0.5804
13029,Bryan County,Georgia,9.2,0.602
13277,Tift County,Georgia,9.2,0.7549
18019,Clark County,Indiana,9.2,0.2022
20053,Ellsworth County,Kansas,9.2,0.2767
20117,Marshall County,Kansas,9.2,0.5578
21013,Bell County,Kentucky,9.2,0.8555
26027,Cass County,Michigan,9.2,0.7186
26069,Iosco County,Michigan,9.2,0.6797
27095,Mille Lacs County,Minnesota,9.2,0.9004
29023,Butler County,Missouri,9.2,0.9612
29055,Crawford County,Missouri,9.2,0.8972
30023,Deer Lodge County,Montana,9.2,0.5228
31001,Adams County,Nebraska,9.2,0.3263
36023,Cortland County,New York,9.2,0.1076
36067,Onondaga County,New York,9.2,0.2662
36107,Tioga County,New York,9.2,0.3623
37049,Craven County,North Carolina,9.2,0.6501
37061,Duplin County,North Carolina,9.2,0.9112
37093,Hoke County,North Carolina,9.2,0.8542
37107,Lenoir County,North Carolina,9.2,0.9806
37123,Montgomery County,North Carolina,9.2,0.6861
39033,Crawford County,Ohio,9.2,0.845
39107,Mercer County,Ohio,9.2,0.2662
39143,Sandusky County,Ohio,9.2,0.7899
39155,Trumbull County,Ohio,9.2,0.6119
40049,Garvin County,Oklahoma,9.2,0.7112
40123,Pontotoc County,Oklahoma,9.2,0.7485
41001,Baker County,Oregon,9.2,0.5836
42017,Bucks County,Pennsylvania,9.2,0.0462
42121,Venango County,Pennsylvania,9.2,0.6975
46047,Fall River County,South Dakota,9.2,0.4218
47071,Hardin County,Tennessee,9.2,0.7577
48203,Harrison County,Texas,9.2,0.4346
51005,Alleghany County,Virginia,9.2,0.4626
51087,Henrico County,Virginia,9.2,0.1913
51149,Prince George County,Virginia,9.2,0.0882
54007,Braxton County,West Virginia,9.2,0.4062
02013,Aleutians East Borough,Alaska,9.3,0.0446
02198,Prince of Wales-Hyder Census Area,Alaska,9.3,0.8424
05075,Lawrence County,Arkansas,9.3,0.8287
08071,Las Animas County,Colorado,9.3,0.6218
12119,Sumter County,Florida,9.3,0.3422
13267,Tattnall County,Georgia,9.3,0.4887
13287,Turner County,Georgia,9.3,0.9755
17161,Rock Island County,Illinois,9.3,0.6517
18063,Hendricks County,Indiana,9.3,0.2127
18093,Lawrence County,Indiana,9.3,0.7603
18119,Owen County,Indiana,9.3,0.446
18153,Sullivan County,Indiana,9.3,0.6301
18167,Vigo County,Indiana,9.3,0.5027
18179,Wells County,Indiana,9.3,0.446
19117,Lucas County,Iowa,9.3,0.7428
20075,Hamilton County,Kansas,9.3,0.1152
20119,Meade County,Kansas,9.3,0.6753
21161,Mason County,Kentucky,9.3,0.6425
21219,Todd County,Kentucky,9.3,0.5384
22031,De Soto Parish,Louisiana,9.3,0.9449
22061,Lincoln Parish,Louisiana,9.3,0.2127
24015,Cecil County,Maryland,9.3,0.2168
26127,Oceana County,Michigan,9.3,0.8914
28021,Claiborne County,Mississippi,9.3,0.5358
29033,Carroll County,Missouri,9.3,0.7787
29075,Gentry County,Missouri,9.3,0.6743
29177,Ray County,Missouri,9.3,0.5371
32033,White Pine County,Nevada,9.3,0.1544
34021,Mercer County,New Jersey,9.3,0.0723
35057,Torrance County,New Mexico,9.3,0.2741
36093,Schenectady County,New York,9.3,0.1162
37073,Gates County,North Carolina,9.3,0.5129
38073,Ransom County,North Dakota,9.3,0.5486
39007,Ashtabula County,Ohio,9.3,0.7001
40087,Mcclain County,Oklahoma,9.3,0.3372
40119,Payne County,Oklahoma,9.3,0.0172
42075,Lebanon County,Pennsylvania,9.3,0.5177
42085,Mercer County,Pennsylvania,9.3,0.5616
42133,York County,Pennsylvania,9.3,0.3298
47171,Unicoi County,Tennessee,9.3,0.9029
49003,Box Elder County,Utah,9.3,0.1573
49007,Carbon County,Utah,9.3,0.6472
50011,Franklin County,Vermont,9.3,0.1764
51029,Buckingham County,Virginia,9.3,0.4947
51155,Pulaski County,Virginia,9.3,0.3862
51193,Westmoreland County,Virginia,9.3,0.1703
51199,York County,Virginia,9.3,0.3254
54015,Clay County,West Virginia,9.3,0.7087
54041,Lewis County,West Virginia,9.3,0.7297
55105,Rock County,Wisconsin,9.3,0.6186
56031,Platte County,Wyoming,9.3,0.4368
01011,Bullock County,Alabama,9.4,0.4438
01057,Fayette County,Alabama,9.4,0.8071
01103,Morgan County,Alabama,9.4,0.6702
04015,Mohave County,Arizona,9.4,0.7861
04023,Santa Cruz County,Arizona,9.4,0.837
05029,Conway County,Arkansas,9.4,0.9195
06039,Madera County,California,9.4,0.6727
06099,Stanislaus County,California,9.4,0.6428
10005,Sussex County,Delaware,9.4,0.3174
13039,Camden County,Georgia,9.4,0.4422
13299,Ware County,Georgia,9.4,0.894
16011,Bingham County,Idaho,9.4,0.6294
16019,Bonneville County,Idaho,9.4,0.4734
18043,Floyd County,Indiana,9.4,0.2818
18079,Jennings County,Indiana,9.4,0.5727
