SVI Theme: Minority Status & Language; Overall Minority Status & Language (Percentile); NaturalBreaks
Data downloaded on 20-April-2024
County_FIPS,County,State,Diagnosed Diabetes-2018-Percentage,Overall Minority Status & Language-2018-Percentile
38015,Burleigh County,North Dakota,7.7,0.3101
38075,Renville County,North Dakota,7.7,0.3187
38083,Sheridan County,North Dakota,7.7,0.1538
39051,Fulton County,Ohio,7.7,0.4091
39123,Ottawa County,Ohio,7.7,0.1815
41035,Klamath County,Oregon,7.7,0.7011
42049,Erie County,Pennsylvania,7.7,0.6024
42069,Lackawanna County,Pennsylvania,7.7,0.6565
46011,Brookings County,South Dakota,7.7,0.4791
46087,Mccook County,South Dakota,7.7,0.368
46089,Mcpherson County,South Dakota,7.7,0.0618
46123,Tripp County,South Dakota,7.7,0.2878
46135,Yankton County,South Dakota,7.7,0.3563
47003,Bedford County,Tennessee,7.7,0.7876
47129,Morgan County,Tennessee,7.7,0.2079
47135,Perry County,Tennessee,7.7,0.1041
47175,Van Buren County,Tennessee,7.7,0.0175
48013,Atascosa County,Texas,7.7,0.9551
48161,Freestone County,Texas,7.7,0.8465
48221,Hood County,Texas,7.7,0.6638
48313,Madison County,Texas,7.7,0.9207
48375,Potter County,Texas,7.7,0.9637
48395,Robertson County,Texas,7.7,0.8529
48441,Taylor County,Texas,7.7,0.8274
48479,Webb County,Texas,7.7,0.9994
49025,Kane County,Utah,7.7,0.2426
50013,Grand Isle County,Vermont,7.7,0.1656
51036,Charles City County,Virginia,7.7,0.5068
51045,Craig County,Virginia,7.7,0.0191
51125,Nelson County,Virginia,7.7,0.4123
51179,Stafford County,Virginia,7.7,0.8173
51690,Martinsville City,Virginia,7.7,0.6613
54073,Pleasants County,West Virginia,7.7,0.0487
55035,Eau Claire County,Wisconsin,7.7,0.5075
55039,Fond Du Lac County,Wisconsin,7.7,0.4467
02180,Nome Census Area,Alaska,7.8,0.8832
04003,Cochise County,Arizona,7.8,0.9226
06069,San Benito County,California,7.8,0.9771
06073,San Diego County,California,7.8,0.9561
06079,San Luis Obispo County,California,7.8,0.8405
06097,Sonoma County,California,7.8,0.8981
06113,Yolo County,California,7.8,0.9497
12017,Citrus County,Florida,7.8,0.4814
12061,Indian River County,Florida,7.8,0.7523
13007,Baker County,Georgia,7.8,0.6759
