SVI Theme: Housing Type & Transportation; Overall Housing Type & Transportation (Percentile); NaturalBreaks
Data downloaded on 20-April-2024
County_FIPS,County,State,Diagnosed Diabetes-2018-Percentage,Overall Housing Type & Transportation-2018-Percentile
48019,Bandera County,Texas,6.9,0.3448
48035,Bosque County,Texas,6.9,0.3852
48043,Brewster County,Texas,6.9,0.745
48047,Brooks County,Texas,6.9,0.9914
48053,Burnet County,Texas,6.9,0.4479
48065,Carson County,Texas,6.9,0.0083
48093,Comanche County,Texas,6.9,0.5848
48115,Dawson County,Texas,6.9,0.8752
48127,Dimmit County,Texas,6.9,0.9316
48133,Eastland County,Texas,6.9,0.8322
48147,Fannin County,Texas,6.9,0.7281
48165,Gaines County,Texas,6.9,0.4171
48173,Glasscock County,Texas,6.9,0.0774
48189,Hale County,Texas,6.9,0.8628
48193,Hamilton County,Texas,6.9,0.5049
48205,Hartley County,Texas,6.9,0.8927
48229,Hudspeth County,Texas,6.9,0.794
48235,Irion County,Texas,6.9,0.0694
48261,Kenedy County,Texas,6.9,0.2162
48271,Kinney County,Texas,6.9,0.6246
48273,Kleberg County,Texas,6.9,0.9879
48293,Limestone County,Texas,6.9,0.9099
48295,Lipscomb County,Texas,6.9,0.0965
48297,Live Oak County,Texas,6.9,0.6784
48305,Lynn County,Texas,6.9,0.4288
48317,Martin County,Texas,6.9,0.2219
48353,Nolan County,Texas,6.9,0.8848
48397,Rockwall County,Texas,6.9,0.1105
48399,Runnels County,Texas,6.9,0.1089
48413,Schleicher County,Texas,6.9,0.249
48417,Shackelford County,Texas,6.9,0.3559
48425,Somervell County,Texas,6.9,0.6371
48443,Terrell County,Texas,6.9,0.0229
48447,Throckmorton County,Texas,6.9,0.0337
48449,Titus County,Texas,6.9,0.596
48483,Wheeler County,Texas,6.9,0.2194
48495,Winkler County,Texas,6.9,0.3668
48499,Wood County,Texas,6.9,0.4454
49031,Piute County,Utah,6.9,0.0245
51840,Winchester City,Virginia,6.9,0.836
53065,Stevens County,Washington,6.9,0.3168
55015,Calumet County,Wisconsin,6.9,0.0388
55019,Clark County,Wisconsin,6.9,0.7705
55109,St. Croix County,Wisconsin,6.9,0.0567
55117,Sheboygan County,Wisconsin,6.9,0.5476
02150,Kodiak Island Borough,Alaska,7,0.9535
06021,Glenn County,California,7,0.4871
08055,Huerfano County,Colorado,7,0.6864
08087,Morgan County,Colorado,7,0.681
08111,San Juan County,Colorado,7,0.4645
12021,Collier County,Florida,7,0.609
13125,Glascock County,Georgia,7,0.8628
13201,Miller County,Georgia,7,0.8819
13291,Union County,Georgia,7,0.3005
16041,Franklin County,Idaho,7,0.0583
16043,Fremont County,Idaho,7,0.3983
16053,Jerome County,Idaho,7,0.2588
16057,Latah County,Idaho,7,0.8179
16085,Valley County,Idaho,7,0.2448
17087,Johnson County,Illinois,7,0.5762
17107,Logan County,Illinois,7,0.4228
18101,Martin County,Indiana,7,0.2178
18115,Ohio County,Indiana,7,0.1207
18161,Union County,Indiana,7,0.1869
19041,Clay County,Iowa,7,0.4358
19047,Crawford County,Iowa,7,0.8583
19167,Sioux County,Iowa,7,0.4922
20081,Haskell County,Kansas,7,0.2467
20091,Johnson County,Kansas,7,0.0783
20153,Rawlins County,Kansas,7,0.0621
20175,Seward County,Kansas,7,0.8771
21079,Garrard County,Kentucky,7,0.148
23009,Hancock County,Maine,7,0.5403
25007,Dukes County,Massachusetts,7,0.008
25021,Norfolk County,Massachusetts,7,0.6603
27109,Olmsted County,Minnesota,7,0.5871
27133,Rock County,Minnesota,7,0.2954
27171,Wright County,Minnesota,7,0.1509
29057,Dade County,Missouri,7,0.4327
29125,Maries County,Missouri,7,0.4129
29186,Ste. Genevieve County,Missouri,7,0.0974
29209,Stone County,Missouri,7,0.4438
30061,Mineral County,Montana,7,0.4008
31009,Blaine County,Nebraska,7,0.1261
31015,Boyd County,Nebraska,7,0.0847
31113,Logan County,Nebraska,7,0.1009
32031,Washoe County,Nevada,7,0.772
35023,Hidalgo County,New Mexico,7,0.7876
36077,Otsego County,New York,7,0.8153
37011,Avery County,North Carolina,7,0.8071
37109,Lincoln County,North Carolina,7,0.1939
37189,Watauga County,North Carolina,7,0.822
38011,Bowman County,North Dakota,7,0.4753
38033,Golden Valley County,North Dakota,7,0.3785
38049,Mchenry County,North Dakota,7,0.0379
38055,Mclean County,North Dakota,7,0.2295
38065,Oliver County,North Dakota,7,0.1178
40057,Harmon County,Oklahoma,7,0.3553
42067,Juniata County,Pennsylvania,7,0.5326
42093,Montour County,Pennsylvania,7,0.7778
42113,Sullivan County,Pennsylvania,7,0.3779
42119,Union County,Pennsylvania,7,0.8535
46053,Gregory County,South Dakota,7,0.2553
46069,Hyde County,South Dakota,7,0.1659
46119,Sully County,South Dakota,7,0.0573
47101,Lewis County,Tennessee,7,0.6208
47137,Pickett County,Tennessee,7,0.377
47187,Williamson County,Tennessee,7,0.0462
48007,Aransas County,Texas,7,0.8169
48081,Coke County,Texas,7,0.4072
48083,Coleman County,Texas,7,0.1063
48085,Collin County,Texas,7,0.1713
48101,Cottle County,Texas,7,0.2111
48121,Denton County,Texas,7,0.3114
48123,Dewitt County,Texas,7,0.7685
48125,Dickens County,Texas,7,0.7373
48137,Edwards County,Texas,7,0.1812
48155,Foard County,Texas,7,0.1051
48163,Frio County,Texas,7,0.9885
48195,Hansford County,Texas,7,0.199
48207,Haskell County,Texas,7,0.8048
48211,Hemphill County,Texas,7,0.5912
48219,Hockley County,Texas,7,0.8485
48233,Hutchinson County,Texas,7,0.2022
48263,Kent County,Texas,7,0.2818
48279,Lamb County,Texas,7,0.5705
48299,Llano County,Texas,7,0.3623
48303,Lubbock County,Texas,7,0.8555
48319,Mason County,Texas,7,0.0191
48323,Maverick County,Texas,7,0.6157
48327,Menard County,Texas,7,0.5174
48389,Reeves County,Texas,7,0.9112
48391,Refugio County,Texas,7,0.5508
48415,Scurry County,Texas,7,0.71
48421,Sherman County,Texas,7,0.2108
48431,Sterling County,Texas,7,0.3578
48433,Stonewall County,Texas,7,0.3629
48437,Swisher County,Texas,7,0.7211
48475,Ward County,Texas,7,0.6116
50019,Orleans County,Vermont,7,0.5263
51075,Goochland County,Virginia,7,0.1493
51091,Highland County,Virginia,7,0.056
51735,Poquoson City,Virginia,7,0.0051
53057,Skagit County,Washington,7,0.6234
55041,Forest County,Wisconsin,7,0.4062
55069,Lincoln County,Wisconsin,7,0.3082
55071,Manitowoc County,Wisconsin,7,0.2432
55085,Oneida County,Wisconsin,7,0.0681
56015,Goshen County,Wyoming,7,0.2738
05049,Fulton County,Arkansas,7.1,0.4642
06011,Colusa County,California,7.1,0.4228
06027,Inyo County,California,7.1,0.8902
08005,Arapahoe County,Colorado,7.1,0.3613
08077,Mesa County,Colorado,7.1,0.5969
08081,Moffat County,Colorado,7.1,0.7329
12086,Miami-Dade County,Florida,7.1,0.8988
13109,Evans County,Georgia,7.1,0.886
13253,Seminole County,Georgia,7.1,0.7791
13319,Wilkinson County,Georgia,7.1,0.532
16007,Bear Lake County,Idaho,7.1,0.1226
16077,Power County,Idaho,7.1,0.22
17009,Brown County,Illinois,7.1,0.9185
17045,Edgar County,Illinois,7.1,0.2649
17083,Jersey County,Illinois,7.1,0.2639
17125,Mason County,Illinois,7.1,0.1047
17129,Menard County,Illinois,7.1,0.0519
17141,Ogle County,Illinois,7.1,0.1936
19039,Clarke County,Iowa,7.1,0.5762
19131,Mitchell County,Iowa,7.1,0.0917
20201,Washington County,Kansas,7.1,0.0735
21017,Bourbon County,Kentucky,7.1,0.1738
21027,Breckinridge County,Kentucky,7.1,0.7498
21103,Henry County,Kentucky,7.1,0.2391
21123,Larue County,Kentucky,7.1,0.1515
21139,Livingston County,Kentucky,7.1,0.2079
21181,Nicholas County,Kentucky,7.1,0.8459
21239,Woodford County,Kentucky,7.1,0.0637
24041,Talbot County,Maryland,7.1,0.0414
26131,Ontonagon County,Michigan,7.1,0.1952
27037,Dakota County,Minnesota,7.1,0.1496
27055,Houston County,Minnesota,7.1,0.0872
27071,Koochiching County,Minnesota,7.1,0.5135
29065,Dent County,Missouri,7.1,0.4123
29217,Vernon County,Missouri,7.1,0.617
29227,Worth County,Missouri,7.1,0.1862
30025,Fallon County,Montana,7.1,0.1471
30071,Phillips County,Montana,7.1,0.2945
31037,Colfax County,Nebraska,7.1,0.3139
31069,Garden County,Nebraska,7.1,0.0287
31073,Gosper County,Nebraska,7.1,0.0315
31147,Richardson County,Nebraska,7.1,0.029
31175,Valley County,Nebraska,7.1,0.1859
34025,Monmouth County,New Jersey,7.1,0.3126
35019,Guadalupe County,New Mexico,7.1,0.8895
37075,Graham County,North Carolina,7.1,0.3321
38013,Burke County,North Dakota,7.1,0.0707
38093,Stutsman County,North Dakota,7.1,0.8134
39075,Holmes County,Ohio,7.1,0.7994
39149,Shelby County,Ohio,7.1,0.1866
40127,Pushmataha County,Oklahoma,7.1,0.6218
46101,Moody County,South Dakota,7.1,0.3155
46115,Spink County,South Dakota,7.1,0.2767
47085,Humphreys County,Tennessee,7.1,0.1843
47127,Moore County,Tennessee,7.1,0.107
47161,Stewart County,Tennessee,7.1,0.1445
48033,Borden County,Texas,7.1,0.0073
48079,Cochran County,Texas,7.1,0.3598
48095,Concho County,Texas,7.1,0.4957
48107,Crosby County,Texas,7.1,0.3502
48119,Delta County,Texas,7.1,0.2942
48129,Donley County,Texas,7.1,0.5186
48151,Fisher County,Texas,7.1,0.0592
48153,Floyd County,Texas,7.1,0.2833
48159,Franklin County,Texas,7.1,0.1964
48169,Garza County,Texas,7.1,0.6781
48177,Gonzales County,Texas,7.1,0.8762
